海南备用,#genre#
湖南娱乐,http://php.jdshipin.com:8880/iptv.php?id=hnyl
湖南娱乐,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnyl
湖南电影,http://php.jdshipin.com:8880/iptv.php?id=hndy
湖南电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndy
湖南经视,http://php.jdshipin.com:8880/iptv.php?id=hnjs
湖南经视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnjs
湖南爱晚,http://php.jdshipin.com:8880/iptv.php?id=hngg
湖南爱晚,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hngg
湖南国际,http://php.jdshipin.com:8880/iptv.php?id=hngj
湖南国际,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hngj
武术世界,http://php.jdshipin.com:8880/hntv.php?id=wspd



海南频道,#genre#

海南卫视,http://192.168.1.128:5678/hainan.php?id=hnws
三沙卫视,http://192.168.1.128:5678/hainan.php?id=ssws
海南新闻,http://192.168.1.128:5678/hainan.php?id=xwpd
海南自贸,http://192.168.1.128:5678/hainan.php?id=jjpd
海南少儿,http://192.168.1.128:5678/hainan.php?id=sepd
海南公共,http://192.168.1.128:5678/hainan.php?id=ggpd
海南文旅,http://192.168.1.128:5678/hainan.php?id=wlpd
海口频道1,http://183.255.46.4:16080/live/tv1001.m3u8
海口频道2,http://183.255.46.4:16080/live/tv2502.m3u8
海口频道3,http://183.255.46.4:16080/live/tv2503.m3u8
